donor,recipient,1%BottleneckSize_mle,1%BottleneckSize_lower95,1%BottleneckSize_upper95,3%BottleneckSize_mle,3%BottleneckSize_lower95,3%BottleneckSize_upper95,6%BottleneckSize_mle,6%BottleneckSize_lower95,6%BottleneckSize_upper95
003,143,98,61,157,1,1,13,1,1,29
003,146,89,54,144,1,1,13,1,1,29
146,147,1147,390,2605,NaN,NaN,NaN,NaN,NaN,NaN
146,150,5457,2619,9864,NaN,NaN,NaN,NaN,NaN,NaN
146,157,3988,1856,7358,NaN,NaN,NaN,NaN,NaN,NaN
146,159,10000,6765,10000,NaN,NaN,NaN,NaN,NaN,NaN
146,172,3268,1438,6250,NaN,NaN,NaN,NaN,NaN,NaN
146,1056,835,403,1519,NaN,NaN,NaN,NaN,NaN,NaN
150,162,85,50,143,26,7,83,1,1,37
159,168,374,206,628,126,14,706,NaN,NaN,NaN
159,169,345,185,593,127,14,715,NaN,NaN,NaN
162,161,213,117,366,50,11,206,1,1,181
171,180,55,37,79,6,2,18,1,1,8
180,197,62,42,91,12,4,31,1,1,9
187,1068,7,6,9,2,2,2,1,1,1
194,193,158,61,385,1,1,287,NaN,NaN,NaN
194,195,351,160,681,1,1,287,NaN,NaN,NaN
194,196,153,66,341,1,1,287,NaN,NaN,NaN
198,230,200,97,384,156,13,760,143,4,951
217,256,931,388,1864,10000,186,10000,NaN,NaN,NaN
273,271,2,2,3,1,1,1,1,1,1
1056,166,24,17,34,2228,137,9773,NaN,NaN,NaN
1056,171,19,13,27,222,7,2076,NaN,NaN,NaN
1056,176,33,24,48,2897,175,9999,NaN,NaN,NaN
1056,1057,6304,5021,7792,185,7,1790,NaN,NaN,NaN
1056,1067,9109,7158,9999,4105,244,9999,NaN,NaN,NaN
1057,175,23,17,32,15,5,45,NaN,NaN,NaN
1057,177,7,6,9,1,1,1,NaN,NaN,NaN
1057,187,9,7,12,2,2,3,NaN,NaN,NaN
1057,1058,54,48,62,2,2,3,NaN,NaN,NaN
1058,1059,1681,1305,2125,2370,115,9999,NaN,NaN,NaN
1058,1063,1978,1538,2497,818,47,3830,NaN,NaN,NaN
1058,1064,2994,2372,3719,317,25,1447,NaN,NaN,NaN
1059,1062,10000,8600,10000,5483,322,9999,NaN,NaN,NaN
1059,1065,10000,7892,10000,1885,117,8267,NaN,NaN,NaN
1062,217,19,14,25,3,2,8,1,1,3
1062,218,18,14,25,3,2,8,1,1,3
1062,219,14,10,19,5,2,12,1,1,3
1067,183,10,7,15,6,2,25,1,1,42
